\                                                                               
\fixlen = T
\RowsRetrieved =               426
\ 
\ koaid 
\ ___ Unique identifier for each file
\ ofname 
\ ___ Original filename at the telescope, copied from DATAFILE keyword
\ targname 
\ ___ target-name
\ koaimtyp 
\ ___ KOA image type
\ frameno 
\ ___ frame-number
\ ra (deg) 
\ ___ Right Ascension (J2000)
\ dec (deg) 
\ ___ Declination (J20000)
\ date_obs 
\ ___ universal date of observation
\ ut 
\ ___ coordinated universal time
\ elaptime 
\ ___ elapsed-time
\ equinox 
\ ___ telescope-equinox
\ progid 
\ ___ WMKO program ID
\ proginst 
\ ___ Program institution
\ progpi 
\ ___ Program principal investigator
\ progtitl 
\ ___ Title of observing program
\ filehand 
\ ___ Path to the file in the archive
\ semid 
\ ___ SEMESTER and PROGID
\ propint 
\ ___ Proprietary Period Interval
\ 
|                             koaid|                           ofname| instrument|                                                              targname|                                                              koaimtyp|          frameno|                 ra|                dec|                       date_obs|                         ut|           elaptime|            equinox|                                                                progid|  proginst|                                                                progpi|                                                                                                                                                                                                           progtitl|                                                                                                                                                filehand|                 semid|          propint| prop|
|                              char|                             char|       char|                                                                  char|                                                                  char|             long|             double|             double|                           char|                       char|             double|             double|                                                                  char|      char|                                                                  char|                                                                                                                                                                                                               char|                                                                                                                                                    char|                  char|             long| char|
|                                  |                                 |           |                                                                      |                                                                      |                 |                deg|                deg|                               |                           |                   |                   |                                                                      |          |                                                                      |                                                                                                                                                                                                                   |                                                                                                                                                        |                      |                 |     |
|                              null|                             null|       null|                                                                  null|                                                                  null|             null|               null|               null|                           null|                       null|               null|               null|                                                                  null|      null|                                                                  null|                                                                                                                                                                                                               null|                                                                                                                                                    null|                  null|             null| null|
             N1.20090531.19681.fits                       s00062.fits        NIRC                                                            FS21/GD 140                                                                 object                62           174.27255            29.79959                      2009-05-31                 05:28:01.21             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.19681.fits            2009a_u105n                18     f 
             N1.20090531.19698.fits                       s00063.fits        NIRC                                                            FS21/GD 140                                                                 object                63           174.27255            29.79959                      2009-05-31                 05:28:18.46             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.19698.fits            2009a_u105n                18     f 
             N1.20090531.19790.fits                       s00064.fits        NIRC                                                            FS21/GD 140                                                                 object                64           174.27255            29.79959                      2009-05-31                 05:29:50.66             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.19790.fits            2009a_u105n                18     f 
             N1.20090531.19810.fits                       s00065.fits        NIRC                                                            FS21/GD 140                                                                 object                65           174.27512            29.80181                      2009-05-31                 05:30:10.91             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.19810.fits            2009a_u105n                18     f 
             N1.20090531.19916.fits                       s00066.fits        NIRC                                                            FS21/GD 140                                                                 object                66           174.27255            29.79959                      2009-05-31                 05:31:56.76             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.19916.fits            2009a_u105n                18     f 
             N1.20090531.19938.fits                       s00067.fits        NIRC                                                            FS21/GD 140                                                                 object                67           174.27516            29.79803                      2009-05-31                 05:32:18.26             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.19938.fits            2009a_u105n                18     f 
             N1.20090531.19960.fits                       s00068.fits        NIRC                                                            FS21/GD 140                                                                 object                68           174.27435            29.80186                      2009-05-31                 05:32:40.51             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.19960.fits            2009a_u105n                18     f 
             N1.20090531.19982.fits                       s00069.fits        NIRC                                                            FS21/GD 140                                                                 object                69           174.26994            29.80115                      2009-05-31                 05:33:02.16             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.19982.fits            2009a_u105n                18     f 
             N1.20090531.20009.fits                       s00070.fits        NIRC                                                            FS21/GD 140                                                                 object                70           174.27076            29.79732                      2009-05-31                 05:33:29.96             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.20009.fits            2009a_u105n                18     f 
             N1.20090531.20064.fits                       s00071.fits        NIRC                                                            FS21/GD 140                                                                 object                71           174.27255            29.79959                      2009-05-31                 05:34:24.32             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.20064.fits            2009a_u105n                18     f 
             N1.20090531.20086.fits                       s00072.fits        NIRC                                                            FS21/GD 140                                                                 object                72           174.27516            29.79803                      2009-05-31                 05:34:46.12             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.20086.fits            2009a_u105n                18     f 
             N1.20090531.20110.fits                       s00073.fits        NIRC                                                            FS21/GD 140                                                                 object                73           174.27435            29.80186                      2009-05-31                 05:35:10.02             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.20110.fits            2009a_u105n                18     f 
             N1.20090531.20136.fits                       s00074.fits        NIRC                                                            FS21/GD 140                                                                 object                74           174.26994            29.80115                      2009-05-31                 05:35:36.72             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.20136.fits            2009a_u105n                18     f 
             N1.20090531.20158.fits                       s00075.fits        NIRC                                                            FS21/GD 140                                                                 object                75           174.27076            29.79732                      2009-05-31                 05:35:58.42             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.20158.fits            2009a_u105n                18     f 
             N1.20090531.20340.fits                       s00076.fits        NIRC                                                            FS21/GD 140                                                                 object                76           174.27255            29.79959                      2009-05-31                 05:39:00.12             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.20340.fits            2009a_u105n                18     f 
             N1.20090531.20367.fits                       s00077.fits        NIRC                                                            FS21/GD 140                                                                 object                77           174.27255            29.79959                      2009-05-31                 05:39:27.22             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.20367.fits            2009a_u105n                18     f 
             N1.20090531.20388.fits                       s00078.fits        NIRC                                                            FS21/GD 140                                                                 object                78           174.27174            29.80341                      2009-05-31                 05:39:48.77             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.20388.fits            2009a_u105n                18     f 
             N1.20090531.20413.fits                       s00079.fits        NIRC                                                            FS21/GD 140                                                                 object                79           174.26733            29.80270                      2009-05-31                 05:40:13.22             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.20413.fits            2009a_u105n                18     f 
             N1.20090531.20439.fits                       s00080.fits        NIRC                                                            FS21/GD 140                                                                 object                80           174.26814            29.79888                      2009-05-31                 05:40:39.17             3.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.20439.fits            2009a_u105n                18     f 
             N1.20090531.20942.fits                       s00081.fits        NIRC                                                              GRB060319                                                                 object                81           176.38468            60.01303                      2009-05-31                 05:49:02.82            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.20942.fits            2009a_u105n                18     f 
             N1.20090531.21021.fits                       s00082.fits        NIRC                                                              GRB060319                                                                 object                82           176.38912            60.01525                      2009-05-31                 05:50:21.72            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.21021.fits            2009a_u105n                18     f 
             N1.20090531.21194.fits                       s00083.fits        NIRC                                                              GRB060319                                                                 object                83           176.38468            60.01303                      2009-05-31                 05:53:14.17            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.21194.fits            2009a_u105n                18     f 
             N1.20090531.21268.fits                       s00084.fits        NIRC                                                              GRB060319                                                                 object                84           176.38844            60.01247                      2009-05-31                 05:54:28.87            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.21268.fits            2009a_u105n                18     f 
             N1.20090531.21343.fits                       s00085.fits        NIRC                                                              GRB060319                                                                 object                85           176.38355            60.01115                      2009-05-31                 05:55:43.87            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.21343.fits            2009a_u105n                18     f 
             N1.20090531.21418.fits                       s00086.fits        NIRC                                                              GRB060319                                                                 object                86           176.38580            60.01491                      2009-05-31                 05:56:58.87            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.21418.fits            2009a_u105n                18     f 
             N1.20090531.21493.fits                       s00087.fits        NIRC                                                              GRB060319                                                                 object                87           176.38091            60.01359                      2009-05-31                 05:58:13.12            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.21493.fits            2009a_u105n                18     f 
             N1.20090531.21568.fits                       s00088.fits        NIRC                                                              GRB060319                                                                 object                88           176.38600            60.01181                      2009-05-31                 05:59:28.17            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.21568.fits            2009a_u105n                18     f 
             N1.20090531.21643.fits                       s00089.fits        NIRC                                                              GRB060319                                                                 object                89           176.38335            60.01425                      2009-05-31                 06:00:43.92            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.21643.fits            2009a_u105n                18     f 
             N1.20090531.21720.fits                       s00090.fits        NIRC                                                              GRB060319                                                                 object                90           176.38712            60.01369                      2009-05-31                 06:02:00.42            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.21720.fits            2009a_u105n                18     f 
