# converted from https://das.sdss.org/www/html/imaging/dr-byRun-99.html
#
# images are linked from
#    https://das.sdss.org/www/cgi-bin/wholeseg?RUN={run}&RERUN={rerun}&CAMCOL={cam}&DR=99
#
# direct images are:
#    http://das.sdss.org/raw/{run}/{rerun}/corr/{cam}/fpC-{run:5i}-{band}{cam}-{field:4i}.fit.gz
#
stripe,strip,run,rerun,MJD,node,inclination,cam1,cam2,cam3,cam4,cam5,cam6
100,N,94,4,51075,284.2054,0.0084,1,2,3,4,5,6
100,N,94,40,51075,284.2054,0.0084,1,2,3,4,5,6
82,S,125,4,51081,284.2815,0.0084,1,2,3,4,5,6
82,S,125,40,51081,284.2815,0.0084,1,2,3,4,5,6
100,N,745,1,51257,287.7291,0.0059,1,2,3,4,5,6
100,N,745,40,51257,287.7291,0.0059,1,2,3,4,5,6
10,S,752,1,51258,95,0,1,2,3,4,5,6
10,S,752,40,51258,95,0,1,2,3,4,5,6
10,N,756,1,51259,95,0,1,2,3,4,5,6
10,N,756,6,51259,95,0,1,2,3,4,5,6
10,N,756,44,51259,95,0,1,2,3,4,5,6
82,N,1033,1,51464,95,0,1,2,3,4,5,6
82,N,1033,40,51464,95,0,1,2,3,4,5,6
76,S,1035,2,51464,95,-15,1,2,3,4,5,6
76,S,1035,40,51464,95,-15,1,2,3,4,5,6
86,S,1037,40,51464,95,10,1,2,3,4,5,6
82,S,1040,40,51465,95,0,1,2,3,4,5,6
76,N,1043,1,51465,95,-15,1,2,3,4,5,6
76,N,1043,40,51465,95,-15,1,2,3,4,5,6
86,N,1045,1,51465,95,10,1,2,3,4,5,6
86,N,1045,40,51465,95,10,1,2,3,4,5,6
82,S,1056,1,51467,95,0,1,2,3,4,5,6
82,S,1056,40,51467,95,0,1,2,3,4,5,6
10,S,1122,41,51582,95,0,1,2,3,4,5,6
9,N,1140,1,51586,95,-2.5,1,2,3,4,5,6
9,N,1140,40,51586,95,-2.5,1,2,3,4,5,6
9,S,1231,1,51606,95,-2.5,1,2,3,4,5,6
9,S,1231,40,51606,95,-2.5,1,2,3,4,5,6
10,S,1239,6,51607,95,0,1,2,3,4,5,6
10,S,1239,40,51607,95,0,1,2,3,4,5,6
9,S,1241,40,51607,95,-2.5,1,2,3,4,5,6
36,S,1331,1,51638,95,65,1,2,3,4,5,6
36,S,1331,40,51638,95,65,1,2,3,4,5,6
36,S,1332,1,51638,95,65,1,2,3,4,5,6
36,S,1332,40,51638,95,65,1,2,3,4,5,6
42,N,1336,0,51638,95,80,1,2,3,4,5,6
42,N,1336,40,51638,95,80,1,2,3,4,5,6
42,S,1339,0,51638,95,80,1,2,3,4,5,6
42,S,1339,40,51638,95,80,1,2,3,4,5,6
36,N,1345,3,51639,95,65,1,2,3,4,5,6
36,N,1345,4,51639,95,65,1,2,3,4,5,6
36,N,1345,41,51639,95,65,1,2,3,4,5,6
37,S,1350,5,51640,95,67.5,1,2,3,4,5,6
37,S,1350,40,51640,95,67.5,1,2,3,4,5,6
43,N,1356,0,51640,95,82.5,1,2,3,4,5,6
43,N,1356,40,51640,95,82.5,1,2,3,4,5,6
43,S,1359,0,51640,95,82.5,1,2,3,4,5,6
43,S,1359,40,51640,95,82.5,1,2,3,4,5,6
37,N,1402,1,51659,95,67.5,1,2,3,4,5,6
37,N,1402,40,51659,95,67.5,1,2,3,4,5,6
37,N,1412,5,51661,95,67.5,1,2,3,4,5,6
37,N,1412,40,51661,95,67.5,1,2,3,4,5,6
37,N,1450,5,51667,95,67.5,1,2,3,4,5,6
37,N,1450,40,51667,95,67.5,1,2,3,4,5,6
37,N,1453,1,51667,95,67.5,1,2,3,4,5,6
37,N,1453,40,51667,95,67.5,1,2,3,4,5,6
11,N,1458,2,51668,95,2.5,1,2,3,4,5,6
11,N,1458,40,51668,95,2.5,1,2,3,4,5,6
11,S,1462,1,51669,95,2.5,1,2,3,4,5,6
11,S,1462,40,51669,95,2.5,1,2,3,4,5,6
12,S,1478,2,51674,95,5,1,2,3,4,5,6
12,S,1478,40,51674,95,5,1,2,3,4,5,6
86,N,1659,1,51790,95,10,1,2,3,4,5,6
86,N,1659,2,51790,95,10,1,2,3,4,5,6
86,N,1659,40,51790,95,10,1,2,3,4,5,6
86,S,1666,40,51792,95,10,1,2,3,4,5,6
86,S,1729,0,51813,95,10,1,2,3,4,5,6
86,S,1729,40,51813,95,10,1,2,3,4,5,6
86,S,1737,0,51814,95,10,1,2,3,4,5,6
86,S,1737,40,51814,95,10,1,2,3,4,5,6
76,N,1739,0,51814,95,-15,1,2,3,4,5,6
76,N,1739,40,51814,95,-15,1,2,3,4,5,6
86,N,1740,0,51814,95,10,1,2,3,4,5,6
86,N,1740,40,51814,95,10,1,2,3,4,5,6
86,N,1741,0,51814,95,10,1,2,3,4,5,6
86,N,1741,40,51814,95,10,1,2,3,4,5,6
76,S,1749,0,51817,95,-15,1,2,3,4,5,6
76,S,1749,40,51817,95,-15,1,2,3,4,5,6
82,N,1752,40,51818,95,0,1,2,3,4,5,6
82,S,1755,40,51819,95,0,1,2,3,4,5,6
86,N,1869,0,51868,95,10,1,2,3,4,5,6
86,N,1869,40,51868,95,10,1,2,3,4,5,6
35,S,1889,1,51874,95,62.5,1,2,3,4,5,6
35,S,1889,40,51874,95,62.5,1,2,3,4,5,6
86,N,1891,0,51875,95,10,1,2,3,4,5,6
86,N,1891,40,51875,95,10,1,2,3,4,5,6
86,N,1893,0,51875,95,10,1,2,3,4,5,6
86,N,1893,40,51875,95,10,1,2,3,4,5,6
82,S,1894,40,51875,95,0,1,2,3,4,5,6
35,N,1895,0,51875,95,62.5,1,2,3,4,5,6
35,N,1895,41,51875,95,62.5,1,2,3,4,5,6
35,S,1896,0,51875,95,62.5,1,2,3,4,5,6
35,S,1896,41,51875,95,62.5,1,2,3,4,5,6
11,S,1897,40,51875,95,2.5,1,2,3,4,5,6
76,N,1904,0,51878,95,-15,1,2,3,4,5,6
76,N,1904,42,51878,95,-15,1,2,3,4,5,6
11,N,1907,0,51878,95,2.5,1,2,3,4,5,6
11,N,1907,40,51878,95,2.5,1,2,3,4,5,6
11,N,1992,0,51901,95,2.5,1,2,3,4,5,6
11,N,1992,40,51901,95,2.5,1,2,3,4,5,6
35,S,2074,0,51935,95,62.5,1,2,3,4,5,6
35,S,2074,41,51935,95,62.5,1,2,3,4,5,6
35,S,2075,0,51935,95,62.5,1,2,3,4,5,6
35,S,2075,40,51935,95,62.5,1,2,3,4,5,6
35,N,2076,0,51935,95,62.5,1,2,3,4,5,6
35,N,2076,40,51935,95,62.5,1,2,3,4,5,6
36,S,2078,0,51935,95,65,1,2,3,4,5,6
36,S,2078,40,51935,95,65,1,2,3,4,5,6
12,S,2125,0,51960,95,5,1,2,3,4,5,6
12,S,2125,40,51960,95,5,1,2,3,4,5,6
12,N,2126,0,51960,95,5,1,2,3,4,5,6
12,N,2126,41,51960,95,5,1,2,3,4,5,6
34,S,2131,0,51961,95,60,1,2,3,4,5,6
34,S,2131,40,51961,95,60,1,2,3,4,5,6
36,S,2134,0,51961,95,65,1,2,3,4,5,6
36,S,2134,40,51961,95,65,1,2,3,4,5,6
34,N,2137,0,51962,95,60,1,2,3,4,5,6
34,N,2137,40,51962,95,60,1,2,3,4,5,6
34,S,2140,40,51962,95,60,1,2,3,4,5,6
10,S,2141,40,51962,95,0,1,2,3,4,5,6
9,N,2188,40,51987,95,-2.5,1,2,3,4,5,6
36,N,2189,0,51987,95,65,1,2,3,4,5,6
36,N,2189,40,51987,95,65,1,2,3,4,5,6
12,N,2190,1,51987,95,5,1,2,3,4,5,6
12,N,2190,40,51987,95,5,1,2,3,4,5,6
37,S,2206,0,51991,95,67.5,1,2,3,4,5,6
37,S,2206,40,51991,95,67.5,1,2,3,4,5,6
37,S,2207,0,51991,95,67.5,1,2,3,4,5,6
